graph num,val_loss,val_roc,val_ap,test_loss,test_roc,test_ap
303,1.9579,0.5191,0.5351,1.9466,0.486,0.4812
499,2.0183,0.4807,0.4756,2.0171,0.486,0.4722
289,1.9798,0.5259,0.5371,1.9788,0.4857,0.4785
439,1.8513,0.5209,0.5552,1.8909,0.4856,0.5019
446,1.8513,0.5209,0.5552,1.8909,0.4856,0.5019
440,1.8513,0.5209,0.5552,1.8909,0.4856,0.5019
63,1.8932,0.5073,0.5179,1.8914,0.4853,0.4876
419,1.9454,0.4903,0.5,1.946,0.4849,0.4866
123,1.9471,0.4593,0.4686,1.9469,0.4843,0.4848
120,2.0302,0.4857,0.5458,2.0311,0.4841,0.4945
97,2.02,0.497,0.5037,2.02,0.4839,0.4849
297,1.7621,0.4824,0.4848,1.7621,0.483,0.4726
89,2.0168,0.5346,0.5528,2.0192,0.4826,0.4976
92,2.0168,0.5346,0.5528,2.0192,0.4826,0.4976
91,2.0168,0.5346,0.5528,2.0192,0.4826,0.4976
581,1.9736,0.5544,0.5831,1.9959,0.4813,0.4744
126,1.9012,0.4664,0.4703,1.8967,0.4791,0.4752
458,2.2538,0.5051,0.5283,2.2535,0.477,0.4896
124,1.9001,0.4668,0.4716,1.897,0.4756,0.4676
88,2.0183,0.5347,0.5586,2.0196,0.4752,0.4864
636,1.9446,0.5024,0.5118,1.9454,0.4751,0.4825
132,2.1366,0.4932,0.5216,2.1368,0.4746,0.4827
125,1.939,0.4605,0.4732,1.9391,0.4731,0.4678
414,1.804,0.527,0.5138,1.8775,0.473,0.4906
356,1.9825,0.5165,0.59,1.9658,0.4705,0.4813
130,2.1366,0.4962,0.5256,2.1368,0.4695,0.477
131,2.1366,0.4962,0.5256,2.1368,0.4695,0.477
141,1.8402,0.4961,0.4811,1.8425,0.4688,0.4599
481,2.0479,0.4514,0.4636,2.0474,0.4686,0.4686
364,2.2524,0.5545,0.5439,2.253,0.4685,0.4925
709,1.944,0.623,0.6937,1.9443,0.4683,0.4719
462,1.8969,0.5893,0.6119,1.8998,0.4681,0.4687
369,2.2531,0.5474,0.5331,2.2534,0.4669,0.4912
363,2.253,0.5516,0.536,2.2533,0.4665,0.4903
365,2.1699,0.549,0.5401,2.2105,0.4634,0.4863
75,1.981,0.492,0.5055,1.981,0.4625,0.468
368,2.1699,0.5494,0.5447,2.2105,0.4617,0.483
362,2.2447,0.5507,0.5411,2.2485,0.4612,0.4827
74,1.9808,0.4988,0.517,1.9808,0.4612,0.4666
498,2.1354,0.4705,0.4932,2.1347,0.4604,0.4658
644,2.116,0.6875,0.7461,2.116,0.4549,0.4558
449,2.2536,0.5298,0.5304,2.2536,0.4506,0.4679
477,2.1192,0.2917,0.3909,2.1158,0.4505,0.4536
360,2.253,0.5567,0.5436,2.2534,0.4494,0.4734
359,2.253,0.5505,0.5338,2.2533,0.4466,0.4685
476,2.0473,0.4375,0.4711,2.0488,0.436,0.4613
703,1.9842,0.5104,0.5709,1.9789,0.4306,0.4447
486,1.9374,0.4961,0.5136,1.9433,0.4269,0.4351
705,1.8996,0.5612,0.5996,1.9469,0.4141,0.4397
72,2.2538,0.3348,0.4442,2.2538,0.2884,0.3771
